canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_units,standard_value,units,value
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL68920,=,=,nM,41.0,uM,0.041
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69960,=,=,nM,170.0,uM,0.17
CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,CHEMBL137635,=,=,nM,9300.0,uM,9.3
CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,CHEMBL306988,=,=,nM,500000.0,uM,500.0
O=C(O)/C=C/c1ccc(O)cc1,CHEMBL66879,=,=,nM,3000000.0,uM,3000.0
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],CHEMBL77085,=,=,nM,96000.0,uM,96.0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL443268,=,=,nM,5310.0,uM,5.31
COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,CHEMBL76979,=,=,nM,264000.0,uM,264.0
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,CHEMBL76589,=,=,nM,125.0,uM,0.125
COc1cc(C=C(C#N)C#N)cc(OC)c1,CHEMBL77724,>,>,nM,1250000.0,uM,1250.0
N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,CHEMBL420385,>,>,nM,625000.0,uM,625.0
N#CC(C#N)=Cc1ccc(O)c(O)c1,CHEMBL76904,=,=,nM,35000.0,uM,35.0
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,CHEMBL1009,=,=,nM,900000.0,uM,900.0
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL304271,=,=,nM,0.45,uM,0.00045
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,CHEMBL296407,=,=,nM,10000.0,uM,10.0
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,CHEMBL309625,=,=,nM,60000.0,uM,60.0
COc1ccc(NN=C(C#N)C#N)cc1,CHEMBL77825,=,=,nM,600000.0,uM,600.0
COc1cc(C=C(C#N)C#N)cc(OC)c1O,CHEMBL421877,=,=,nM,850000.0,uM,850.0
N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,CHEMBL310798,=,=,nM,3000.0,uM,3.0
C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,CHEMBL135592,=,=,nM,8000.0,uM,8.0
N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,CHEMBL309866,=,=,nM,1300000.0,uM,1300.0
N#C/C(=C/c1ccc[nH]1)C(=O)O,CHEMBL77381,=,=,nM,1360000.0,uM,1360.0
N#C/C(=C\c1ccc(O)cc1)C(=O)O,CHEMBL76602,=,=,nM,165000.0,uM,165.0
N#CC(C#N)=Cc1ccncc1,CHEMBL77737,=,=,nM,250000.0,uM,250.0
N#CC(C#N)=Cc1ccc(F)cc1,CHEMBL76983,>,>,nM,1250000.0,uM,1250.0
N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,CHEMBL308134,=,=,nM,125000.0,uM,125.0
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL136491,=,=,nM,14.0,uM,0.014
CC(=C(C#N)C#N)c1ccc(N)cc1,CHEMBL77280,>,>,nM,1250000.0,uM,1250.0
O=[N+]([O-])c1ccc(O)c(O)c1,CHEMBL42423,,,nM,,uM,
N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,CHEMBL76557,=,=,nM,625000.0,uM,625.0
Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,CHEMBL336113,=,=,nM,1000.0,uM,1.0
C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL133024,=,=,nM,100.0,uM,0.1
CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,CHEMBL344652,=,=,nM,13350.0,uM,13.35
N#CC(C#N)=CNc1ccc(O)cc1,CHEMBL77814,=,=,nM,350000.0,uM,350.0
O=CN/C=C/c1cc(O)ccc1O,CHEMBL47986,=,=,nM,14000.0,uM,14.0
O=C(O)c1ccc(O)cc1,CHEMBL441343,,,nM,,uM,
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,CHEMBL138125,=,=,nM,238.0,uM,0.238
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,CHEMBL137364,=,=,nM,64.0,uM,0.064
N#CC(C#N)=C1C(=O)NC(=O)NC1=O,CHEMBL308339,=,=,nM,1400000.0,uM,1400.0
N#CC(C#N)=Cc1ccc(C(=O)O)cc1,CHEMBL78174,=,=,nM,430000.0,uM,430.0
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,CHEMBL302552,=,=,nM,22.0,uM,0.022
N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,CHEMBL309598,=,=,nM,13500.0,uM,13.5
COc1ccc(C=C(C#N)C#N)cc1O,CHEMBL78302,>,>,nM,250000.0,uM,250.0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,CHEMBL67057,=,=,nM,4.5,uM,0.0045
Nc1ccc2ncnc(NCc3ccccc3)c2c1,CHEMBL332096,=,=,nM,508.0,uM,0.508
N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,CHEMBL77387,=,=,nM,450000.0,uM,450.0
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,CHEMBL432903,=,=,nM,200.0,uM,0.2
Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,CHEMBL69964,=,=,nM,210.0,uM,0.21
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,CHEMBL65848,=,=,nM,1410.0,uM,1.41
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1,CHEMBL69129,,,nM,,uM,
N#C/C(=C\c1ccc(F)cc1)C(=O)O,CHEMBL78184,=,=,nM,833000.0,uM,833.0
N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,CHEMBL76985,=,=,nM,47000.0,uM,47.0
O=C(O)/C=C/c1ccc(O)c(O)c1,CHEMBL145,=,=,nM,1200000.0,uM,1200.0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69629,=,=,nM,6.5,uM,0.0065
CN(c1ccccc1)c1ncnc2ccc(N)cc12,CHEMBL136492,=,=,nM,8400.0,uM,8.4
COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,CHEMBL77197,=,=,nM,1100000.0,uM,1100.0
N#CC(C#N)=Cc1ccc(O)cc1,CHEMBL305695,=,=,nM,560000.0,uM,560.0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,CHEMBL68258,>,>,nM,20000.0,uM,20.0
N#CC(C#N)Cc1ccc(O)cc1,CHEMBL76587,=,=,nM,6500000.0,uM,6500.0
COc1ccc(C=C(C#N)C#N)cc1,CHEMBL77456,>,>,nM,1250000.0,uM,1250.0
CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,CHEMBL66570,=,=,nM,13.0,uM,0.013
N#C/C(=C\c1ccc(O)cc1)C(N)=O,CHEMBL308048,=,=,nM,800000.0,uM,800.0
N#CC(C#N)=Cc1ccc(C=O)cc1,CHEMBL311119,=,=,nM,60000.0,uM,60.0
N#CC(C#N)=Cc1cc(O)cc(O)c1,CHEMBL76905,=,=,nM,37000.0,uM,37.0
COc1ccc(/C=C(\C#N)C(=O)O)cc1,CHEMBL77524,=,=,nM,833000.0,uM,833.0
Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL305194,=,=,nM,29.0,uM,0.029
COc1cc(/C=C(\C#N)C(=O)O)ccc1O,CHEMBL307250,=,=,nM,325000.0,uM,325.0
COc1cc(C=C(C#N)C#N)cc(O)c1O,CHEMBL80155,=,=,nM,6000.0,uM,6.0
Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL343352,=,=,nM,200.0,uM,0.2
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL52765,=,=,nM,44.0,uM,0.044
CN(C)c1ccc(/C=C(\C#N)C(=O)O)cc1,CHEMBL77436,,,nM,,uM,
COc1ccc(C(O)=C(C#N)C#N)cc1,CHEMBL311564,=,=,nM,450000.0,uM,450.0
N#C/C(=C/c1cc(O)ccc1O)C(=O)O,CHEMBL76642,=,=,nM,75000.0,uM,75.0
Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL308645,=,=,nM,4.7,uM,0.0047
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,CHEMBL67003,=,=,nM,1.8,uM,0.0018
N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,CHEMBL307248,=,=,nM,640000.0,uM,640.0
N#CC(C#N)=NNc1ccc(O)cc1,CHEMBL310958,=,=,nM,225000.0,uM,225.0
N#CC(C#N)=Cc1ccc2c(c1)OCO2,CHEMBL78005,=,=,nM,350000.0,uM,350.0
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL134312,=,=,nM,11.0,uM,0.011
CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,CHEMBL77243,=,=,nM,55000.0,uM,55.0
COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,CHEMBL80745,=,=,nM,1200.0,uM,1.2
N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1,CHEMBL77778,=,=,nM,450000.0,uM,450.0
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL305246,=,=,nM,2.8,uM,0.0028
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,CHEMBL69966,=,=,nM,18.0,uM,0.018
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,CHEMBL47940,=,=,nM,3200.0,uM,3.2
N#CC(C#N)=Cc1cc[n+]([O-])cc1,CHEMBL57712,=,=,nM,1300000.0,uM,1300.0
COc1cc(C=C(C#N)C#N)ccc1O,CHEMBL77869,=,=,nM,200000.0,uM,200.0
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL69358,=,=,nM,1.2,uM,0.0012
C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,CHEMBL137189,=,=,nM,200.0,uM,0.2
C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL137617,=,=,nM,39.0,uM,0.039
CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,CHEMBL137027,=,=,nM,482.0,uM,0.482
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,CHEMBL78257,=,=,nM,800.0,uM,0.8
N#CC(C#N)=Cc1cc2c(cc1[N+](=O)[O-])OCO2,CHEMBL76082,=,=,nM,560000.0,uM,560.0
N#C/C(=C\c1ccccc1)C(=O)O,CHEMBL77595,=,=,nM,850000.0,uM,850.0
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,CHEMBL309334,=,=,nM,2500.0,uM,2.5
N#CC(C#N)=Cc1ccc[nH]1,CHEMBL310514,=,=,nM,260000.0,uM,260.0
Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL304971,=,=,nM,410.0,uM,0.41
Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69071,=,=,nM,5.9,uM,0.0059
CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL137534,=,=,nM,38.0,uM,0.038
C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,CHEMBL137788,=,=,nM,335.0,uM,0.335
Cc1cc(C)c(/C=C2\C(=O)N(C)c3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL69709,>,>,nM,20000.0,uM,20.0
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,CHEMBL424093,=,=,nM,25.0,uM,0.025
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,CHEMBL77030,=,=,nM,2400.0,uM,2.4
CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,CHEMBL78150,=,=,nM,460000.0,uM,460.0
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc[nH]1,CHEMBL69106,>,>,nM,20000.0,uM,20.0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,CHEMBL264382,=,=,nM,1.1,uM,0.0011
O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,CHEMBL308133,=,=,nM,1500000.0,uM,1500.0
COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,CHEMBL307179,=,=,nM,160000.0,uM,160.0
Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,CHEMBL305782,=,=,nM,180.0,uM,0.18
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,CHEMBL308672,=,=,nM,450.0,uM,0.45
Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1,CHEMBL133023,=,=,nM,24.0,uM,0.024
N#CC(C#N)=Cc1cccc(O)c1,CHEMBL310400,=,=,nM,375000.0,uM,375.0
COCC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL136674,=,=,nM,71.0,uM,0.071
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,CHEMBL73820,=,=,nM,25000.0,uM,25.0
N#CC(C#N)=C(O)c1ccc(O)cc1,CHEMBL79064,=,=,nM,230000.0,uM,230.0
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(Br)c1,CHEMBL77803,=,=,nM,500.0,uM,0.5
N#C/C=C/c1ccc(O)cc1,CHEMBL75718,=,=,nM,2400000.0,uM,2400.0
COc1cc(C=C(C#N)C#N)cc(Br)c1O,CHEMBL77298,=,=,nM,153000.0,uM,153.0
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,CHEMBL432941,=,=,nM,8880.0,uM,8.88
COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,CHEMBL420609,>,>,nM,100000.0,uM,100.0
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,CHEMBL419682,>,>,nM,100000.0,uM,100.0
COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,CHEMBL322395,=,=,nM,3000.0,nM,3000.0
COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,CHEMBL88462,>,>,nM,100000.0,uM,100.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,CHEMBL431996,=,=,nM,56500.0,uM,56.5
COc1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,CHEMBL91250,>,>,nM,100000.0,uM,100.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,CHEMBL88771,>,>,nM,100000.0,uM,100.0
COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,CHEMBL91815,>,>,nM,100000.0,uM,100.0
O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,CHEMBL328029,>,>,nM,100000.0,uM,100.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,CHEMBL314995,>,>,nM,100000.0,uM,100.0
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,CHEMBL88483,>,>,nM,100000.0,uM,100.0
O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1cc2c([nH]1)CCCC2,CHEMBL313746,>,>,nM,100000.0,uM,100.0
